,Year,DistrictNew,Code,LocationNew,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
355,2014,Neuklln,80410,Rudow,32,18,207,54,92,1186,114,317,153,174,22,10,300,30,8,542
356,2017,Pankow,30307,BlankenburgHeinersdorfMrchenland,7,2,118,32,33,655,20,72,110,53,14,8,98,27,11,200
357,2016,TempelhofSchneberg,70606,Marienfelde,20,11,257,44,75,1073,55,179,159,49,22,6,217,16,54,504
358,2012,TreptowKpenick,90312,SchmckwitzKarolinenhofRauchfangswerder,0,0,13,3,3,146,2,53,4,14,3,3,31,9,0,24
359,2015,MarzahnHellersdorf,100204,HellersdorfNord,33,16,607,106,200,1589,73,262,122,47,28,4,538,108,81,1254
360,2015,Spandau,50103,SpandauMitte,101,55,624,158,252,2665,64,303,194,87,25,11,526,97,175,1593
361,2014,CharlottenburgWilmersdorf,40308,Kantstrae,54,21,232,51,117,2830,24,216,321,103,10,4,225,22,138,664
362,2014,CharlottenburgWilmersdorf,40307,NeueKantstrae,36,12,235,59,77,1598,57,323,277,110,11,7,219,55,116,660
363,2016,Neuklln,80308,Gropiusstadt,47,32,338,96,148,1902,54,236,152,84,18,5,532,48,53,1061
364,2013,Spandau,50103,SpandauMitte,96,46,758,181,243,2471,41,291,267,72,31,8,602,112,223,1630
365,2013,CharlottenburgWilmersdorf,40306,OttoSuhrAllee,60,24,385,98,127,2260,27,308,355,157,14,5,410,94,141,965
366,2017,CharlottenburgWilmersdorf,40411,Grunewald,10,6,109,17,52,788,53,250,79,98,5,1,198,94,18,327
367,2019,Neuklln,89900,BezirkNknichtzuzuordnen,2,1,5,2,10,79,0,13,4,0,0,0,6,3,7,21
368,2019,TreptowKpenick,90310,Bohnsdorf,5,3,107,20,42,442,25,66,61,28,5,3,118,11,14,255
369,2013,FriedrichshainKreuzberg,20202,TempelhoferVorstadt,143,81,869,242,282,5097,142,618,935,338,35,14,805,187,352,2051
370,2015,FriedrichshainKreuzberg,20508,FrankfurterAlleeSdFK,196,100,999,360,160,5581,65,383,692,121,35,13,1023,378,1468,2287
371,2015,CharlottenburgWilmersdorf,40308,Kantstrae,67,27,276,69,98,3361,20,201,325,94,5,3,226,15,119,772
372,2013,CharlottenburgWilmersdorf,40310,Halensee,23,8,135,25,71,1011,64,180,172,85,7,3,167,38,30,433
373,2016,Spandau,50205,HeerstraeNord,26,13,417,93,137,1103,20,155,64,115,32,14,351,96,40,908
374,2016,Lichtenberg,110409,NeuLichtenberg,27,13,274,53,92,1693,49,179,403,65,14,7,400,124,47,740
375,2012,Lichtenberg,110205,AltHohenschnhausenSd,26,10,234,48,74,1243,59,266,146,70,12,6,334,72,13,647
376,2013,Lichtenberg,110307,AltLichtenberg,37,22,372,99,109,1943,65,327,178,52,22,11,388,103,56,874
377,2012,CharlottenburgWilmersdorf,40411,Grunewald,10,5,98,11,58,867,32,268,84,194,4,0,128,14,5,391
378,2017,Mitte,10332,BrunnenstraeNord,58,29,659,178,234,3069,76,417,346,94,34,13,542,204,197,1337
379,2017,MarzahnHellersdorf,100103,MarzahnSd,20,9,392,73,116,1765,169,435,101,64,18,6,337,49,48,882
380,2013,Pankow,30304,Karow,4,2,106,19,40,449,8,102,101,36,6,3,88,11,6,206
381,2013,TempelhofSchneberg,70707,Lichtenrade,31,14,339,64,135,1231,51,390,98,179,29,10,338,46,64,754
382,2012,CharlottenburgWilmersdorf,49900,BezirkChWinichtzuzuordnen,1,0,205,62,40,716,7,25,5,1,2,0,282,218,12,286
